lab,address,pincode,city,state,type,latitude,longitude
"Maulana Azad Medical College, New Delhi","Maulana Azad Medical College, 2, Bahadur Shah Zafar Marg, New Delhi, Delhi 110002",110002,New Delhi,Delhi,Government Laboratory,28.6357398,77.2400709
"Vardhman Mahavir Medical College and Safdarjung Hospital, New Delhi","Vardhman Mahavir Medical College and Safdarjung Hospital, Ansari Nagar East, New Delhi, Delhi 110029",110029,New Delhi,Delhi,Government Laboratory,28.5671633,77.2075551
"Dr Lal PathLabs, National Reference laboratory","Dr Lal PathLabs, National Reference laboratory, B7 Rd, Block E, Sector 18, Rohini, New Delhi, Delhi 110085",110085,New Delhi,Delhi,Private Laboratory,28.7388534,77.1364103
"Dr. Dang’s Lab, New Delhi","Dr. Dang’s Lab, C2/1 SDA Aurbindo Marg, New Delhi 110016",110016,New Delhi,Delhi,Private Laboratory,28.5501324,77.2034503
"Laboratory Services Indraprastha Apollo Hospitals, Sarita Vihar, New Delhi","Laboratory Services Indraprastha Apollo Hospitals, Sarita Vihar, New Delhi 110076",110076,New Delhi,Delhi,Private Laboratory,28.5413896,77.2837904
"Max lab, Max Super Speciality Hospita, Saket, New Delhi","Max lab, Max Super Speciality Hospital, 1, Press Enclave Road, Saket New Delhi 110017",110017,New Delhi,Delhi,Private Laboratory,28.527638,77.2120949
"Sir ganga ram hospital clinical laboratory services, New Delhi","Sir ganga ram hospital clinical laboratory services, Sarhadi Gandhi Marg, Old Rajinder Nagar, Rajinder Nagar, New Delhi, Delhi 110060",110060,New Delhi,Delhi,Private Laboratory,28.6388009,77.1901027
"ONCQUEST Laboratories Limited, New Delhi","ONCQUEST Laboratories Limited 3-Factory Road, Adjacent Safdarjung Hospital, New Delhi, Delhi 110029",110029,New Delhi,Delhi,Private Laboratory,28.568484,77.201805
"Prognosis Laboratories, New Delhi","Prognosis Laboratories, 515-516, behind Gupta Properties, Close to Welcome Hotel (ITC, Sector 19, Pocket 1, Dwarka, New Delhi, Delhi 110075",110075,New Delhi,Delhi,Private Laboratory,28.580235,77.0509856
"City x-Ray & Scan Clinic Pvt. Ltd., New Delhi","City X Ray & Scan Clinic Pvt. Ltd., Molecular Laboratory, Third Floor,City Imaging Building, 4B/18, Tilak Nagar, Near haldiram, New Delhi 110018",110018,New Delhi,Delhi,Private Laboratory,28.6396072,77.0962882
"Lifeline Laboratory, New Delhi","Lifeline Laboratory, H-11, Green Park Extension, New Delhi, Delhi 110016",110016,New Delhi,Delhi,Private Laboratory,28.560079,77.2046567
"Department of Laboratory Services, Dr. B.L. Kapur Memorial Hospital New Delhi","Department of Laboratory Services, Dr. B.L. Kapur Memorial Hospital, 5, Pusa Road, New Delhi-110005, India",110005,New Delhi,Delhi,Private Laboratory,28.6433037,77.1798616
"BJ Medical College, Ahmedabad","B j medical college, Asarwa, Civil Hospital Campus, Ahmedabad, Gujarat 380016",380016,Ahmedabad,Gujarat,Government Laboratory,23.0524508,72.6028567
"M. P. Shah Govt Medical College, Jamnagar","M.P. Shah Govt Medical College, Pandit Nehru Marg, Indradeep Society, Jamnagar, Gujarat 361008",361008,Jamnagar,Gujarat,Government Laboratory,22.4773074,70.0652399
"Government Medical College, Surat","Government Medical College, Opp Income Tax Department Office, Majura Gate, Surat, Gujarat 395001",395001,Surat,Gujarat,Government Laboratory,21.1780573,72.8202524
"Government Medical College, Bhavnagar","Government Medical College, Near State Road Transport Corporation Bus Stand, Bhavnagar, Gujarat 364001",364001,Bhavnagar,Gujarat,Government Laboratory,21.7687381,72.1369852
"Government Medical College, Vadodara","Government Medical College, Vinoba Bhave Rd, Anandpura, Vadodara, Gujarat 390001",390001,Vadodara,Gujarat,Government Laboratory,22.3043783,73.1918191
"Government Medical College, Rajkot","Government Medical College, Pandit Dindayal Upadhyay Medical College, Sadar Civil Hospital Campus, Rajkot, Gujarat 360001",360001,Rajkot,Gujarat,Government Laboratory,22.3049715,70.7984304
"Smt. NHL Municipal Medical College, Ahmedabad","Smt. NHL Municipal Medical College, Pritan Rai Cross Road, Ellise Bridge, Paldi, Ahmedabad, Gujarat 380006, India",380006,Ahmedabad,Gujarat,Government Laboratory,23.0186615,72.5713277
"GMERS Medical Collage, Ahmedabad","GMERS Medical Collage, Sola, S.G. Highway, Ahmedabad, Gujarat 380060, India",380060,Ahmedabad,Gujarat,Government Laboratory,23.0827751,72.5248866
"ICMR-National Institute of Occupational Health, Ahmedabad","ICMR-National Institute of Occupational Health, Meghani Nagar, Ahmedabad-380016, Gujarat, India",380016,Ahmedabad,Gujarat,Government Laboratory,23.054771,72.6107296
"Surat Municipal Institute of Medical Education & Research, Surat","Surat Municipal Institute of Medical Education & Research, Near Sahara Darwaja, Opposite to Bombay Market, Umarwada, Surat- 395010 Gujarat, India",395010,Surat,Gujarat,Government Laboratory,21.1975074,72.8450123
"Unipath Speciality Laboratory Limited, Ahmedabad","Unipath Speciality Laboratory Limited,, 102, 1st Floor, Sanoma Plaza, Sheth Mangald Road, Opp. Parimal Garden, Ellisbridge, Ahmedabad, Gujarat 380006",380006,Ahmedabad,Gujarat,Private Laboratory,23.0191034,72.5556622
"Supratech Micropath Laboratory & Research Institute Pvt. Ltd., Ahmedabad","Supratech Micropath Laboratory & Research Institute Pvt. Ltd., Neuberg Supratech, Ground Floor, Kedar Builiding, Opp. Krupa petrol Pump Parimal garden, Gujarat 380006",380006,Ahmedabad,Gujarat,Private Laboratory,23.0198295,72.5592869
"S. N. GENELAB, Nanpura, Surat","S. N. GENELAB, 2nd Floor, President Plaza-A, Nanpura, Surat, Gujarat, India 395001",395001,Surat,Gujarat,Private Laboratory,21.1833745,72.8143657
"PanGenomics International Pvt. Ltd., Ahmedabad","PanGenomics International Pvt. Ltd., 1st floor sankalp Squre Juna sharda Mandir Cross Road, Ahmedabad, Gujarat 380006",380006,Ahmedabad,Gujarat,Private Laboratory,23.0195647,72.5606113
"Goa Medical College, Bambolim","Goa Medical College and Hospital, Bambolim Bambolim, Tiswadi Goa India 403202",403202,Goa,Goa,Government Laboratory,15.4643263,73.8584025
"Pandit Bhagwat Dayal Sharma Post Graduate Institute of Medical Sciences, Rohtak","Pandit Bhagwat Dayal Sharma Post Graduate Institute of Medical Sciences, SH 16A, Dev Colony, Rohtak, Haryana 124514",124514,Rohtak,Haryana,Government Laboratory,28.8801261,76.6055682
"BPS Government Medical College for Women, Sonipat","Bhagat Phool Singh Government Medical College, Ganaur - Gohana Rd, Khanpur Kalan, Haryana 131305",131305,Sonipat,Haryana,Government Laboratory,29.1520573,76.8083989
"ESIC Medical College and Hospital, Faridabad","ESIC Medical College and Hospital, NH-3, NIT, Faridabad, Haryana",121012,Faridabad,Haryana,Government Laboratory,28.3944107,77.2937012
"ICAR-National Research Centre on Equines, Hisar","ICAR-National Research Centre on Equines, Sirsa Road, Hisar , 125001, Haryana, India",125001,Hisar,Haryana,Government Laboratory,29.1335651,75.7528328
"Kalpana Chawla Government Medical College and Hospital, Karnal","Kalpana Chawla Government Medical College and Hospital, Karnal, Haryana 132001, India",132001,Karnal,Haryana,Government Laboratory,29.6970126,76.9900411
"Strand Life Sciences, Gurugram","Strand Life Sciences, A-17, Info Technology Park, Sector 34, Gurugram, Haryana 122001",122001,Gurugram,Haryana,Private Laboratory,28.4294379,77.0155385
"SRL Limited, Gurugram","SRL Limited, GP 26 Sector 18, Gurugram, Haryana, India Pin 122015",122015,Gurugram,Haryana,Private Laboratory,28.489104,77.061689
"Modern Diagnostic & research Centre Laboratory, Gurugram","Modern Diagnostic & research Centre Laboratory, 363-364/4, Jawahar Nagar, New Railway Road, Gurugram-122001, Haryana",122001,Gurugram,Haryana,Private Laboratory,28.466008,77.0269741
"CORE Diagnostics Pvt Ltd, Gurugram","CORE Diagnostics Pvt Ltd, 406, Udyog Vihar III, Sector 20, Gurugram, Haryana 122016",122016,Gurugram,Haryana,Private Laboratory,28.5092887,77.0916438
"Molq Lab (A Unit of Molecular Quest Healthcare Private Limited), Gurugram","Molq Lab (A Unit of Molecular Quest Healthcare Private Limited), Plot 28-29, Sector 18(P), Electronic City, Udyog Vihar Phase-IV, Gurugram, Haryana 122001",122001,Gurugram,Haryana,Private Laboratory,28.5007624,77.0717682
"PATHKIND Diagnostics Pvt. Ltd., Gurugram","PATHKIND Diagnostics Pvt. Ltd., Plot No. 55, 56, Service Lane, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122015",122015,Gurugram,Haryana,Private Laboratory,28.4930097,77.0826631
"Indira Gandhi Medical College, Shimla","Indira Gandhi Medical College, Ridge Sanjauli Rd, Lakkar Bazar, Shimla, Himachal Pradesh 171001",171001,Shimla,Himachal Pradesh,Government Laboratory,31.1064901,77.1822518
"Dr. Rajendra Prasad Government Medical College, Tanda","Dr. Rajendra Prasad Government Medical College, Tanda Hospital Rd, Kangra, Himachal Pradesh 176001",176001,Kangra,Himachal Pradesh,Government Laboratory,32.0991951,76.2986883
"Central Research Institute, Kasauli","Central Research Institute, Solan, Kasauli, Himachal Pradesh 173204",173204,Kasauli,Himachal Pradesh,Government Laboratory,30.8996491,76.9646224
"Government Medical College, Jammu","Government Medical College, maheshpura, chowk, Bakshi Nagar, Jammu Cantonment, Jammu and Kashmir 180001",180001,Jammu,Jammu and Kashmir,Government Laboratory,32.7361128,74.8539737
"Command Hospital, Udhampur","Command Hospital, Raghunathpura, Udhampur, Jammu and Kashmir 182101",182101,Udhampur,Jammu and Kashmir,Government Laboratory,32.9307865,75.1353478
"Sher-i -Kashmir Institute of Medical Sciences, Srinagar","Sher - i-Kashmir Institute of Medical Sciences, SKIMS Main Rd, Soura, Srinagar, 190011",190011,Srinagar,Jammu and Kashmir,Government Laboratory,34.136145,74.8000465
"Government Medical College, Srinagar","Government Medical College, Jammu and Kashmir, Bemina, Srinagar, 190010",190010,Srinagar,Jammu and Kashmir,Government Laboratory,34.0859652,74.7988339
"MGM Medical College, Jamshedpur","MGM Medical College, Dimna Rd, Hill View Colony, Mango, Jamshedpur, Jharkhand 831020",831020,Jamshedpur,Jharkhand,Government Laboratory,22.843664,86.232396
"Rajendra Institute of Medical Sciences, Ranchi","Rajendra Institute of Medical Sciences, Cir, Indraprasth Colony, Bariatu, Ranchi, Jharkhand 834009",834009,Ranchi,Jharkhand,Government Laboratory,23.3915056,85.3484537
"Patliputra Medical College & Hospital, Dhanbad","Patliputra Medical College & Hospital, B.C.C.L. Township, Koyla Nagar, Dhanbad - 826005, Jharkhand",826005,Dhanbad,Jharkhand,Government Laboratory,23.8086527,86.4624047
"Hassan Institute of Medical Sciences, Hassan","Hassan Institute of Medical Sciences, Shri panchamukhi medicals and clinic, opp. govt high school, Hassan, Karnataka 573201",573201,Hassan,Karnataka,Government Laboratory,13.0048638,76.1026865
"Mysore Medical College & Research Institute, Mysore","Mysore Medical College & Research Institute, Irwin Road, next to Railway Staion, Mysuru, Karnataka 570001",570001,Mysuru,Karnataka,Government Laboratory,12.3150229,76.6504047
"Shimoga Institute of Medical Sciences, Shivamogga","Shimoga Institute of Medical Sciences, N.H.206, Sagara Road, Shivamogga, Karnataka 577201",577201,Shivamogga,Karnataka,Government Laboratory,13.9326526,75.5668522
Command Hospital (Air Force) Bengaluru,"Command Hospital (Air Force) , Cambridge Rd, Cambridge Layout, Jogupalya, Bengaluru, Karnataka 560007",560007,Bengaluru,Karnataka,Government Laboratory,12.9646503,77.6281362
"Bangalore Medical College & Research Institute, Bangaluru","Bangalore Medical College & Research Institute, Krishna Rajendra Rd, Bengaluru, Karnataka 560002",560002,Bengaluru,Karnataka,Government Laboratory,12.9593958,77.5747214
"National Institute of Virology, Field Unit, Bengaluru","National Institute of Virology, Field Unit, Jaya Nagar 1st Block, Jayanagar, Bengaluru, Karnataka 560011",560011,Bengaluru,Karnataka,Government Laboratory,12.9373283,77.5908367
"Gulbarga Institute Of Medical Sciences, Gulbarga","Gulbarga Institute Of Medical Sciences, Sedam Rd,Veeresh Nagar Cross, behind MRMC, Gulbarga, Karnataka 585101",585101,Gulbarga,Karnataka,Government Laboratory,17.32723,76.844089
"National Institute of Mental Health and Neurosciences, Bengaluru","National Institute of Mental Health and Neurosciences,, Hosur Road, Lakkasandra, Hombegowda Nagar, Bengaluru, Karnataka 560029",560029,Bengaluru,Karnataka,Government Laboratory,12.9406819,77.5982643
"Vijayanagar Institute of Medical Science, Bellary","Vijayanagar Institute of Medical Sciences, Contonment, Bellary 583104, Karnataka, India",583104,Bellary,Karnataka,Government Laboratory,15.1529479,76.8966905
"Wenlock District Hospital, Mangalore","Wenlock District Hospital, Hampankatta, Mangalore, Karnataka 575001",575001,Mangalore,Karnataka,Government Laboratory,12.867383,74.843131
"Karnataka Institute of Medical Sciences (K.I.M.S.), Hubballi","Karnataka Institute of Medical Sciences (K.I.M.S.), P. B Road, Vidyanagar, Hubli – 580022, Karnataka, India",580022,Hubli,Karnataka,Government Laboratory,15.3616002,75.1307201
"ICMR-National Institute of Traditional Medicine (NITM), Belagavi","ICMR-National Institute of Traditional Medicine (NITM), Nehru Nagar, National Highway No. 4, Belagavi- 590010 Karnataka, India",590010,Belagavi,Karnataka,Government Laboratory,15.8872725,74.5234387
"Neuberg Anand Reference Laboratory, Bengaluru","Neuberg Anand Reference Laboratory, Anand Tower, #54, bowring Hospital Road, Bengaluru, karnataka, India 560001",560001,Bengaluru,Karnataka,Private Laboratory,12.9814606,77.6061478
"Cancyte Technologies Private Limited, Bengaluru","Cancyte Technologies Private Limited, Bengaluru, Karnataka 560018",560018,Bengaluru,Karnataka,Private Laboratory,12.9575987,77.56677
"Sakra World Hospital Laboratory Services, Bangalore","Sakra World Hospital Laboratory Services, 52/2 & 52/3, Deverabeesanahalli, Varthur Hobli, Bangalore-560103, Karnataka, India",560103,Bengaluru,Karnataka,Private Laboratory,12.9323275,77.6851886
"Central Diagnostic Laboratory, Vydehi Institute of Medical Sciences & Research Centre, Bangalore","Central Diagnostic Laboratory, Vydehi Institute of Medical Sciences & Research Centre, Basement Hospital Building, #82, E.P.I.P. Area, Whitefield, Bangalore-560066, Karnataka",560066,Bengaluru,Karnataka,Private Laboratory,12.9754462,77.7309473
"Laboratory Services, Apollo Hospitals, (A Unit of M/S Imperial Hospital and Research Centre Ltd), Bengaluru","Laboratory Services, Apollo Hospitals, (A Unit of M/S Imperial Hospital and Research Centre Ltd), 154/11, Opp IIM, Bannerghatta Road, Bengaluru - 560 076, Karnataka, India",560076,Bengaluru,Karnataka,Private Laboratory,12.8962841,77.5984218
"National Institute of Virology Field Unit, Allapuzzha","National Institute of Virology Field Unit, Allapuzzha Vandanam, Kerala 688005",688005,Vandanam,Kerala,Government Laboratory,9.4185125,76.3431999
"Government Medical College, Trivandrum","Government Medical College, Ulloor - Akkulam Rd, near SAT hospital Medical College Junction, Chalakkuzhi, Thiruvananthapuram, Kerala 695011",695011,Thiruvananthapuram,Kerala,Government Laboratory,8.523432,76.9282855
"Government Medical College, Kozhikode","Government Medical College, 17 Medical College Road Medical College Junction, Near Police Station, Kozhikode, Kerala 673008",673008,Kozhikode,Kerala,Government Laboratory,11.272211,75.8371979
"Government Medical College, Thrissur","Government Medical College, M. G. Kavu, Thrissur, Kerala 680596",680596,Thrissur,Kerala,Government Laboratory,10.6144974,76.1960673
"Rajiv Gandhi Center for Biotechnology, Thiruvananthapuram","Rajiv Gandhi Center for Biotechnology,, Melarannoor Road Behind Central Jail Poojapura, Thycaud, Thiruvananthapuram, Kerala 695014",695014,Thiruvananthapuram,Kerala,Government Laboratory,8.4923544,76.9668745
"Sree Chitra Tirunal Institute for Medical Sciences & Technology, Thiruvananthapuram","Sree Chitra Tirunal Institute for Medical Sciences & Technology, Jai Nagar W Rd, Chalakkuzhi, Thiruvananthapuram, Kerala 695011",695011,Thiruvananthapuram,Kerala,Government Laboratory,8.5216667,76.9263889
"State Public Health Laboratory, Trivandrum","State Public Health Laboratory, Red Cross Road, Near, General Hospital Rd, Rishimangalam, Pattoor, Thiruvananthapuram, Kerala 695024",695024,Thiruvananthapuram,Kerala,Government Laboratory,8.498272,76.9394667
"Interuniversity, kottayam","Interuniversity, kottayam, Thalappady, Kerala 686019",686019,Thalappady,Kerala,Government Laboratory,9.5752366,76.5789463
"Malabar Cancer Centre, Thalassery","Malabar Cancer Centre, Kodiyeri, Muzhikkara - MCC Rd, Illathaazha, Thalassery, Kerala 670103",670103,Thalassery,Kerala,Government Laboratory,11.7493909,75.5239389
"Central University of Kerala, Kasaragod","Central University of Kerala, Tejaswini Hills, Periye (PO), Kasaragod (DT), Kerala - 671316",671316,Kasaragod,Kerala,Government Laboratory,12.3929071,75.0916816
"DDRC SRL Diagnostics Pvt Ltd, Ernakulam","DDRC SRL Diagnostics Pvt Ltd, DDRC SRL TOWER,G-131, Panampilly Nagar, Ernakulam, Kerala 682036",682036,Ernakulam,Kerala,Private Laboratory,9.9635292,76.2952832
"MIMS Laboratory Services, Kozhikode","Aster MIMS Laboratory Services, Mini, Mini Bypass Rd, Govindapuram, Kozhikode, Kerala 673016",673016,Kozhikode,Kerala,Private Laboratory,11.2457941,75.798659
"Sonam Nurboo Memorial Hospital, Leh-Ladakh","Sonam Nurboo Memorial Hospital, Old Leh Rd, Leh-Ladakh, Ladakh 194101",194101,Ladakh,Ladakh,Collection Site,34.1534817,77.5806212
"National Institute of Virology, Pune","National Institute of Virology, Pune, 130/1, Pashan - Sus Rd, Pashan Gaon, Pashan, Pune, Maharashtra 411021",411021,Pune,Maharashtra,Government Laboratory,18.5432517,73.7889215
"Seth GS Medical College & KEM Hospital, Mumbai","Seth GS Medical College & KEM Hospital, Acharya Donde Marg, Parel, Mumbai, Maharashtra 400012",400012,Mumbai,Maharashtra,Government Laboratory,19.0024531,72.8422882
"Kasturba Hospital for Infectious Diseases, Mumbai","Kasturba Hospital for Infectious Diseases, Sane Guruji Marg, Arya Nagar, Chinchpokli, Mumbai, Maharashtra 400034",400034,Mumbai,Maharashtra,Government Laboratory,18.9840364,72.8298487
"National Institute of Virology Field Unit, Mumbai","National Institute of Virology Field Unit, Haffkine Institute Compound, A D Marg, Parel Mumbai 4000012",400012,Mumbai,Maharashtra,Government Laboratory,19.0020772,72.8440002
"Armed Forces Medical College, Pune","Armed Forces Medical College, Southern Command, Solapur Road, Wanowrie, near Race Course, Pune, Maharashtra 411040",411040,Pune,Maharashtra,Government Laboratory,18.5040375,73.8900961
"BJ Medical College, Pune","BJ Medical College, Jai Prakash Narayan Road, Railway Station Rd, near Pune, Maharashtra 411001",411001,Pune,Maharashtra,Government Laboratory,18.5262332,73.8711312
"Indira Gandhi Government Medical College & Hospital, Nagpur","Indira Gandhi Government Medical College & Hospital, Mayo Hospital, Central Ave, Mominpura, Nagpur 440018",440018,Nagpur,Maharashtra,Government Laboratory,21.153418,79.0939735
"Grant Medical College & Sir JJ Hospital, Mumbai","Grant Medical College & Sir JJ Hospital, J J Marg, Nagpada-Mumbai Central, Noor Baug, Mazgaon, Mumbai, Maharashtra 400008",400008,Mumbai,Maharashtra,Government Laboratory,18.9630684,72.8336083
Govt Medical College & Hospital Aurangabad,"Govt Medical College & Hospital, University Road, Jubilee Park, Aurangabad, Maharashtra 431004",431004,Aurangabad,Maharashtra,Government Laboratory,19.8899963,75.3181535
"V. M. Govt. Medical College, Solapur","V. M. Govt. Medical College, Opp. District Court, Solapur, Maharashtra 413003, India",413003,Solapur,Maharashtra,Government Laboratory,17.665311,75.909637
"Haffkine Institute, Mumbai","Haffkine Institute, Acharya Donde Marg, Parel, Mumbai 400012, Maharashtra",400012,Mumbai,Maharashtra,Government Laboratory,19.0020507,72.8437472
"Shree Bhausaheb Hire Govt Medical College, Dhule","Shree Bhausaheb Hire Govt Medical College, Chakkarbardi, Malegaon Road, Dhule, Maharashtra 424001",424001,Dhule,Maharashtra,Government Laboratory,20.8639536,74.7623454
"Government Medical College And Hospital, Miraj","Government Medical College And Hospital, Pandharpur Rd, Maji Sainik Vasahat, Miraj, Maharashtra 416410",416410,Miraj,Maharashtra,Government Laboratory,16.8370254,74.6474007
"All India Institute of Medical Sciences (AIIMS), Nagpur","All India Institute of Medical Sciences (AIIMS), Plot No. 2, Sector - 20, MIHAN, Nagpur 441108 Maharashtra",441108,Nagpur,Maharashtra,Government Laboratory,21.0385558,79.0237737
"Nagpur Veterinary College, Nagpur","Department of Veterinary Public Health & Epidemiology, Nagpur Veterinary College. Seminary Hills, Nagpur 440006, Maharashtra",440006,Nagpur,Maharashtra,Government Laboratory,21.1652176,79.0459737
